# time  ID  size  fromHost  toHost  TTL  isResponse
21525.0000 M409 945396 Sat46 Beijing0 300 N 
21525.0000 M410 863634 Sat46 Kashi1 300 N 
21525.0000 M411 930082 Sat46 Sanya2 300 N 
21525.0000 M412 546801 Sat46 Sat13 300 N 
21525.0000 M413 755835 Sat46 Sat24 300 N 
21525.0000 M414 647816 Sat46 Sat35 300 N 
21525.0000 M415 744700 Sat46 Sat57 300 N 
21525.0000 M416 547290 Sat46 Sat68 300 N 
21525.0000 M417 968721 Sat57 Beijing0 300 N 
21525.0000 M418 712689 Sat57 Kashi1 300 N 
21525.0000 M419 967044 Sat57 Sanya2 300 N 
21525.0000 M420 753029 Sat57 Sat13 300 N 
21525.0000 M421 661975 Sat57 Sat24 300 N 
21525.0000 M422 990865 Sat57 Sat35 300 N 
21525.0000 M423 751567 Sat57 Sat46 300 N 
21525.0000 M424 649975 Sat57 Sat68 300 N 
21525.0000 M425 690465 Sat68 Beijing0 300 N 
21525.0000 M426 564851 Sat68 Kashi1 300 N 
21525.0000 M427 530235 Sat68 Sanya2 300 N 
21525.0000 M428 735667 Sat68 Sat13 300 N 
21525.0000 M429 924739 Sat68 Sat24 300 N 
21525.0000 M430 785889 Sat68 Sat35 300 N 
21525.0000 M431 922600 Sat68 Sat46 300 N 
21525.0000 M432 609072 Sat68 Sat57 300 N 
24602.0000 M433 741039 Beijing0 Kashi1 300 N 
24602.0000 M434 839088 Beijing0 Sanya2 300 N 
24602.0000 M435 944646 Beijing0 Sat13 300 N 
24602.0000 M436 937285 Beijing0 Sat24 300 N 
24602.0000 M437 887512 Beijing0 Sat35 300 N 
24602.0000 M438 674532 Beijing0 Sat46 300 N 
24602.0000 M439 916898 Beijing0 Sat57 300 N 
24602.0000 M440 681262 Beijing0 Sat68 300 N 
24602.0000 M441 517153 Kashi1 Beijing0 300 N 
24602.0000 M442 952005 Kashi1 Sanya2 300 N 
24602.0000 M443 822553 Kashi1 Sat13 300 N 
24602.0000 M444 702802 Kashi1 Sat24 300 N 
24602.0000 M445 982169 Kashi1 Sat35 300 N 
24602.0000 M446 667772 Kashi1 Sat46 300 N 
24602.0000 M447 617434 Kashi1 Sat57 300 N 
24602.0000 M448 570337 Kashi1 Sat68 300 N 
24602.0000 M449 826370 Sanya2 Beijing0 300 N 
24602.0000 M450 785174 Sanya2 Kashi1 300 N 
24602.0000 M451 593371 Sanya2 Sat13 300 N 
24602.0000 M452 601798 Sanya2 Sat24 300 N 
24602.0000 M453 804649 Sanya2 Sat35 300 N 
24602.0000 M454 753632 Sanya2 Sat46 300 N 
24602.0000 M455 591925 Sanya2 Sat57 300 N 
24602.0000 M456 638002 Sanya2 Sat68 300 N 
24602.0000 M457 868464 Sat13 Beijing0 300 N 
24602.0000 M458 972891 Sat13 Kashi1 300 N 
24602.0000 M459 826284 Sat13 Sanya2 300 N 
24602.0000 M460 716616 Sat13 Sat24 300 N 
24602.0000 M461 553518 Sat13 Sat35 300 N 
24602.0000 M462 588091 Sat13 Sat46 300 N 
24602.0000 M463 500166 Sat13 Sat57 300 N 
24602.0000 M464 784100 Sat13 Sat68 300 N 
24602.0000 M465 990380 Sat24 Beijing0 300 N 
24602.0000 M466 787394 Sat24 Kashi1 300 N 
24602.0000 M467 682174 Sat24 Sanya2 300 N 
24602.0000 M468 733737 Sat24 Sat13 300 N 
24602.0000 M469 786640 Sat24 Sat35 300 N 
24602.0000 M470 668212 Sat24 Sat46 300 N 
24602.0000 M471 796528 Sat24 Sat57 300 N 
24602.0000 M472 825157 Sat24 Sat68 300 N 
24602.0000 M473 524342 Sat35 Beijing0 300 N 
24602.0000 M474 832182 Sat35 Kashi1 300 N 
24602.0000 M475 653844 Sat35 Sanya2 300 N 
24602.0000 M476 848451 Sat35 Sat13 300 N 
24602.0000 M477 601626 Sat35 Sat24 300 N 
24602.0000 M478 987656 Sat35 Sat46 300 N 
24602.0000 M479 603880 Sat35 Sat57 300 N 
24602.0000 M480 801452 Sat35 Sat68 300 N 
24602.0000 M481 975987 Sat46 Beijing0 300 N 
24602.0000 M482 656381 Sat46 Kashi1 300 N 
24602.0000 M483 809157 Sat46 Sanya2 300 N 
24602.0000 M484 788347 Sat46 Sat13 300 N 
24602.0000 M485 614169 Sat46 Sat24 300 N 
24602.0000 M486 660979 Sat46 Sat35 300 N 
24602.0000 M487 753044 Sat46 Sat57 300 N 
24602.0000 M488 672636 Sat46 Sat68 300 N 
24602.0000 M489 729639 Sat57 Beijing0 300 N 
24602.0000 M490 702195 Sat57 Kashi1 300 N 
24602.0000 M491 749177 Sat57 Sanya2 300 N 
24602.0000 M492 682624 Sat57 Sat13 300 N 
24602.0000 M493 870651 Sat57 Sat24 300 N 
24602.0000 M494 717958 Sat57 Sat35 300 N 
24602.0000 M495 524397 Sat57 Sat46 300 N 
24602.0000 M496 858368 Sat57 Sat68 300 N 
24602.0000 M497 512443 Sat68 Beijing0 300 N 
24602.0000 M498 898385 Sat68 Kashi1 300 N 
24602.0000 M499 736330 Sat68 Sanya2 300 N 
24602.0000 M500 905196 Sat68 Sat13 300 N 
